raw_text,aspectTerms
"Overall is excellent, but it would be better if we could receive the slide in the classroom.","[{'term': 'organization', 'polarity': 'neutral'}]"
If the invited guest speaker doing in online the student should be online too,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"The slides given have too many words, formulas, and diagrams, and I am overwhelmed by them.","[{'term': 'organization', 'polarity': 'neutral'}]"
"Great teaching skills, really care about students","[{'term': 'instructor', 'polarity': 'positive'}]"
Please extend the period assignment deadline by a day.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"It would be great if we can get more information about the project description. such as score criteria, project requirements, project limitations","[{'term': 'instructor', 'polarity': 'neutral'}]"
Too many assignments in my opinion,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"It's difficult install [software] on Unix based devices, especially with the modern ARM processors, [software] only supports the x86_64 architecture. I think there are plenty of alternatives that natively support both x86_64 and arm64 chipsets (maybe the ones that are web based or written in java), as running Netica through emulation causes the program to be unstable and crashes alot (Tested on x86_64 Suse Tumbleweed and arm64 Windows, there are cases where my friends with m1 macbooks aren't able to install at all).","[{'term': 'instructor', 'polarity': 'neutral'}]"
Sometimes I didn't catch the content if you went too fast.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
The air conditioner in the lab is very cold.Would like the table to be wider than this when placing the box [Course] and the laptop,"[{'term': 'instructor', 'polarity': 'neutral'}]"
"Could AJ use the slide that does not contain a solid color such as blue or black background because when students have to print the material for the examination, they are difficult to read or have to print it using color ink or Could AJ please give the slide in the format that we can edit by ourselves?","[{'term': 'content quality', 'polarity': 'neutral'}]"
Too much homeworkThere are every week.,"[{'term': 'organization', 'polarity': 'negative'}]"
You are very kind and I really like your teaching style.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"At the time of writing, how to use other apps instead, such as the [Software], [software] etc. Because writing in [software] is quite delay and makes it difficult to read sometimes.Thank you in advance.","[{'term': 'instructor', 'polarity': 'neutral'}]"
[instructor] accent is hard to understand a lesson.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
"A lot of homeworkThere should be an answer and check the homework as well.When the exam does not have sheets, it will be repeated.","[{'term': 'content quality', 'polarity': 'neutral'}]"
"[instructor] is impolite sometimes, teaches not well, very little people show up in the class because they have no clue what they're studying and they do not find learning with  [instructor] enjoying or easily understandable. [instructor]'s method is much better than [instructor],  [instructor] has full class of student whereas no body wants to come to  [instructor]'s class.  [instructor] health is not good and interrupt the lesson,  [instructor] teaching method is not fun.","[{'term': 'organization', 'polarity': 'negative'}]"
That the teacher teaching is very goodNothing led because the teacher really taught very well.,"[{'term': 'instructor', 'polarity': 'positive'}]"
"Homework that is done without a clear answer, resulting in the idea that it is a trainingBut doing without knowing whether it is wrong or not, it may be benefited anyway.","[{'term': 'instructor', 'polarity': 'neutral'}]"
"Reduce homework, give more time to do quiz.","[{'term': 'motivation', 'polarity': 'neutral'}]"
This course is very difficult expecially the last part. I think there should be some adjustment to the cirriculum and maybe exclue some topic. Some topics are too complicated to be taught in an entry level class in my opinion.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"The workload is unbalanced and too much to handle. Some assignment is not nectary and waste time. Some individual assignments look like one project. Moreover, the requirement of the project and weekly assignment is not efficient such as the report should have 20 pages, Summarize must be more than two pages. I think the number of pages can not reflect any quality of work and knowledge","[{'term': 'content quality', 'polarity': 'neutral'}]"
"I rarely learn about what really [course] is, I got only the meaning of each term and does not get any feedback from the submitted assignment, I have learned almost nothing and the instructor seems not to care about how students will feel about her because I do not see any changes from the previous comments.No offense to any instructors, but as far as I am concerned, not many people are interested in the class, and the class attendance has been abysmal. Try spice things up a bit next year, please?","[{'term': 'organization', 'polarity': 'neutral'}]"
"The teacher does not understand, must read almost 100%. There is no understanding of the content at all.I don't know how the content taught.Speaking sarcasticallyWhen there is a consultation in the classDue to not understanding and unable to catch upThe teacher has a rating to go out of the room, which actually has the duty to teach aboutIf teachingNo need to talk to each other.Speak on the moodExpressed the maturity of the instructorWould like the teacher to focus more on teaching","[{'term': 'instructor', 'polarity': 'negative'}]"
"Ajarn releases the project 2 very late, but it should be releases at the beginning of November in syllabus. That is very little time to do the project.","[{'term': 'instructor', 'polarity': 'neutral'}]"
Illustrated about examination,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"Want to have a workshop, try to use various tools to see the image","[{'term': 'content quality', 'polarity': 'negative'}]"
"I believe that having some short breaks during 3 hours class would not hurt the flow of the class, so I would like to suggest to allow students for some breaks during class.","[{'term': 'instructor', 'polarity': 'neutral'}]"
The instructor give descriptions and details in class topic very clear,"[{'term': 'motivation', 'polarity': 'neutral'}]"
I can't follow teacher from time to time because of English speech.,"[{'term': 'content quality', 'polarity': 'neutral'}]"
The teacher taught is a little too fast.,"[{'term': 'instructor', 'polarity': 'negative'}]"
Cant understand what teacher taught,"[{'term': 'motivation', 'polarity': 'neutral'}]"
[instructor] attended me very cordially and professionally every time I did request [instructor] assistance,"[{'term': 'motivation', 'polarity': 'neutral'}]"
"The lecture slides content is sometimes having too much content for students to digest, but still appreciated studying this course with [instructor] and [instructor].","[{'term': 'content quality', 'polarity': 'negative'}]"
Please slow down a little bit. I mostly can't catch up with taking the note.,"[{'term': 'motivation', 'polarity': 'neutral'}]"
From the experience of studying the first five weeks of this courseFeeling like and fun in various workBut it will be more fun if there is a basis for using the program ([Software]) before and there is a Senior Project that makes work not fully creative.But overall I like this course very much,"[{'term': 'content quality', 'polarity': 'positive'}]"
please use a microphone,"[{'term': 'organization', 'polarity': 'neutral'}]"
"Homework that is done without a clear answer, resulting in the idea that it is a trainingBut doing without knowing whether it is wrong or not, it may be benefited anyway.","[{'term': 'organization', 'polarity': 'neutral'}]"
"Want to have a workshop, try to use various tools to see","[{'term': 'instructor', 'polarity': 'neutral'}]"
please have more flexibility about hybrid classes (online+onsite),"[{'term': 'motivation', 'polarity': 'neutral'}]"
Quiz is checking the name.And give a little time,"[{'term': 'content quality', 'polarity': 'neutral'}]"
